Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,873687,2000,ZOMAOPT,ZOMATO25MAY270PE,08-MAY-2025,OPTSTK,PE,270,0.05,
BFO,873614,2000,ZOMAOPT,ZOMATO25MAY265PE,08-MAY-2025,OPTSTK,PE,265,0.05,
BFO,873202,2000,ZOMAOPT,ZOMATO25MAY260PE,08-MAY-2025,OPTSTK,PE,260,0.05,
BFO,868590,2000,ZOMAOPT,ZOMATO25MAY255PE,08-MAY-2025,OPTSTK,PE,255,0.05,
BFO,868412,2000,ZOMAOPT,ZOMATO25MAY250PE,08-MAY-2025,OPTSTK,PE,250,0.05,
BFO,870195,2000,ZOMAOPT,ZOMATO25MAY245PE,08-MAY-2025,OPTSTK,PE,245,0.05,
BFO,870029,2000,ZOMAOPT,ZOMATO25MAY240PE,08-MAY-2025,OPTSTK,PE,240,0.05,
BFO,864959,2000,ZOMAOPT,ZOMATO25MAY235PE,08-MAY-2025,OPTSTK,PE,235,0.05,
BFO,864798,2000,ZOMAOPT,ZOMATO25MAY230PE,08-MAY-2025,OPTSTK,PE,230,0.05,
BFO,866546,2000,ZOMAOPT,ZOMATO25MAY225PE,08-MAY-2025,OPTSTK,PE,225,0.05,
BFO,866362,2000,ZOMAOPT,ZOMATO25MAY220PE,08-MAY-2025,OPTSTK,PE,220,0.05,
BFO,868155,2000,ZOMAOPT,ZOMATO25MAY215PE,08-MAY-2025,OPTSTK,PE,215,0.05,
BFO,867968,2000,ZOMAOPT,ZOMATO25MAY210PE,08-MAY-2025,OPTSTK,PE,210,0.05,
BFO,869772,2000,ZOMAOPT,ZOMATO25MAY205PE,08-MAY-2025,OPTSTK,PE,205,0.05,
BFO,869584,2000,ZOMAOPT,ZOMATO25MAY200PE,08-MAY-2025,OPTSTK,PE,200,0.05,
BFO,870699,2000,ZOMAOPT,ZOMATO25MAY195PE,08-MAY-2025,OPTSTK,PE,195,0.05,
BFO,870507,2000,ZOMAOPT,ZOMATO25MAY190PE,08-MAY-2025,OPTSTK,PE,190,0.05,
BFO,865462,2000,ZOMAOPT,ZOMATO25MAY185PE,08-MAY-2025,OPTSTK,PE,185,0.05,
BFO,871899,2000,ZOMAOPT,ZOMATO25MAY180PE,08-MAY-2025,OPTSTK,PE,180,0.05,
BFO,873560,2000,ZOMAOPT,ZOMATO25MAY270CE,08-MAY-2025,OPTSTK,CE,270,0.05,
BFO,873648,2000,ZOMAOPT,ZOMATO25MAY265CE,08-MAY-2025,OPTSTK,CE,265,0.05,
BFO,873186,2000,ZOMAOPT,ZOMATO25MAY260CE,08-MAY-2025,OPTSTK,CE,260,0.05,
BFO,868425,2000,ZOMAOPT,ZOMATO25MAY255CE,08-MAY-2025,OPTSTK,CE,255,0.05,
BFO,868250,2000,ZOMAOPT,ZOMATO25MAY250CE,08-MAY-2025,OPTSTK,CE,250,0.05,
BFO,870042,2000,ZOMAOPT,ZOMATO25MAY245CE,08-MAY-2025,OPTSTK,CE,245,0.05,
BFO,869863,2000,ZOMAOPT,ZOMATO25MAY240CE,08-MAY-2025,OPTSTK,CE,240,0.05,
BFO,864809,2000,ZOMAOPT,ZOMATO25MAY235CE,08-MAY-2025,OPTSTK,CE,235,0.05,
BFO,864624,2000,ZOMAOPT,ZOMATO25MAY230CE,08-MAY-2025,OPTSTK,CE,230,0.05,
BFO,866375,2000,ZOMAOPT,ZOMATO25MAY225CE,08-MAY-2025,OPTSTK,CE,225,0.05,
BFO,866192,2000,ZOMAOPT,ZOMATO25MAY220CE,08-MAY-2025,OPTSTK,CE,220,0.05,
BFO,871004,2000,ZOMAOPT,ZOMATO25MAY215CE,08-MAY-2025,OPTSTK,CE,215,0.05,
BFO,870802,2000,ZOMAOPT,ZOMATO25MAY210CE,08-MAY-2025,OPTSTK,CE,210,0.05,
BFO,865758,2000,ZOMAOPT,ZOMATO25MAY205CE,08-MAY-2025,OPTSTK,CE,205,0.05,
BFO,865570,2000,ZOMAOPT,ZOMATO25MAY200CE,08-MAY-2025,OPTSTK,CE,200,0.05,
BFO,866751,2000,ZOMAOPT,ZOMATO25MAY195CE,08-MAY-2025,OPTSTK,CE,195,0.05,
BFO,866564,2000,ZOMAOPT,ZOMATO25MAY190CE,08-MAY-2025,OPTSTK,CE,190,0.05,
BFO,868364,2000,ZOMAOPT,ZOMATO25MAY185CE,08-MAY-2025,OPTSTK,CE,185,0.05,
BFO,872579,2000,ZOMAOPT,ZOMATO25MAY180CE,08-MAY-2025,OPTSTK,CE,180,0.05,
BFO,836815,2000,ZOMAOPT,ZOMATO25MAR330PE,13-MAR-2025,OPTSTK,PE,330,0.05,
BFO,836043,2000,ZOMAOPT,ZOMATO25MAR325PE,13-MAR-2025,OPTSTK,PE,325,0.05,
BFO,832378,2000,ZOMAOPT,ZOMATO25MAR320PE,13-MAR-2025,OPTSTK,PE,320,0.05,
BFO,834687,2000,ZOMAOPT,ZOMATO25MAR315PE,13-MAR-2025,OPTSTK,PE,315,0.05,
BFO,834461,2000,ZOMAOPT,ZOMATO25MAR310PE,13-MAR-2025,OPTSTK,PE,310,0.05,
